Date,AAPL,MSFT,GOOG,TSLA,BTC-USD
2021-07-29,145.02542114257812,284.8414001464844,2730.81005859375,677.3499755859375,40008.421875
2021-07-30,145.24449157714844,283.2606201171875,2704.419921875,687.2000122070312,42235.546875
2021-08-02,144.9059295654297,283.171142578125,2719.7900390625,709.6699829101562,39201.9453125
2021-08-03,146.73817443847656,285.4577941894531,2725.60009765625,709.739990234375,38152.98046875
2021-08-04,146.32989501953125,284.8513488769531,2720.570068359375,710.9199829101562,39747.50390625
2021-08-05,146.43942260742188,287.8439025878906,2738.800048828125,714.6300048828125,40869.5546875
2021-08-06,145.7413330078125,287.7842712402344,2740.719970703125,699.0999755859375,42816.5
2021-08-09,145.69146728515625,286.6607971191406,2760.0400390625,713.760009765625,46365.40234375
2021-08-10,145.20281982421875,284.7817687988281,2761.929931640625,709.989990234375,45585.03125
2021-08-11,145.4621124267578,285.288818359375,2753.7900390625,707.8200073242188,45593.63671875
2021-08-12,148.4838409423828,288.13226318359375,2767.7900390625,722.25,44428.2890625
2021-08-13,148.69326782226562,291.1546325683594,2768.1201171875,717.1699829101562,47793.3203125
2021-08-16,150.70774841308594,292.89453125,2778.320068359375,686.1699829101562,46004.484375
2021-08-17,149.78030395507812,291.38330078125,2746.010009765625,665.7100219726562,44695.359375
2021-08-18,145.9607391357422,289.60028076171875,2731.39990234375,688.989990234375,44801.1875
2021-08-19,146.29981994628906,295.6167907714844,2738.27001953125,673.469970703125,46717.578125
2021-08-20,147.78575134277344,303.17730712890625,2768.739990234375,680.260009765625,49339.17578125
2021-08-23,149.30162048339844,303.4661560058594,2821.989990234375,706.2999877929688,49546.1484375
2021-08-24,149.2118377685547,301.4440612792969,2847.969970703125,708.489990234375,47706.1171875
2021-08-25,147.9552764892578,300.8364562988281,2859.0,711.2000122070312,48960.7890625
2021-08-26,147.1375274658203,297.9277648925781,2842.4599609375,701.1599731445312,46942.21875
2021-08-27,148.19464111328125,298.5553283691406,2891.010009765625,711.9199829101562,49058.66796875
2021-08-30,152.70228576660156,302.4103088378906,2909.389892578125,730.9099731445312,47054.984375
2021-08-31,151.4158172607422,300.7069396972656,2909.239990234375,735.719970703125,47166.6875
2021-09-01,152.09396362304688,300.6571350097656,2916.840087890625,734.0900268554688,48847.02734375
2021-09-02,153.23085021972656,299.9797668457031,2884.3798828125,732.3900146484375,49327.72265625
2021-09-03,153.87908935546875,299.9698181152344,2895.5,733.5700073242188,50025.375
2021-09-07,156.2625732421875,299.0135192871094,2910.3798828125,752.9199829101562,46811.12890625
2021-09-08,154.68687438964844,299.0434265136719,2897.669921875,753.8699951171875,46091.390625
2021-09-09,153.64971923828125,296.09490966796875,2898.27001953125,754.8599853515625,46391.421875
2021-09-10,148.56361389160156,294.5608825683594,2838.419921875,736.27001953125,44883.91015625
2021-09-13,149.1420440673828,295.8359375,2869.300048828125,743.0,44963.07421875
2021-09-14,147.71592712402344,298.6250915527344,2868.1201171875,744.489990234375,47092.4921875
2021-09-15,148.6234588623047,303.6355285644531,2904.1201171875,755.8300170898438,48176.34765625
2021-09-16,148.38409423828125,304.033935546875,2887.469970703125,756.989990234375,47783.359375
2021-09-17,145.66156005859375,298.7047424316406,2829.27001953125,759.489990234375,47267.51953125
2021-09-20,142.55006408691406,293.1563720703125,2780.340087890625,730.1699829101562,42843.80078125
2021-09-21,143.03872680664062,293.6544494628906,2792.929931640625,739.3800048828125,40693.67578125
2021-09-22,145.45213317871094,297.41973876953125,2818.77001953125,751.9400024414062,43574.5078125
2021-09-23,146.42945861816406,298.39593505859375,2836.530029296875,753.6400146484375,44895.09765625
2021-09-24,146.5192108154297,298.186767578125,2852.659912109375,774.3900146484375,42839.75
2021-09-27,144.97344970703125,293.02691650390625,2830.02001953125,791.3599853515625,42235.73046875
2021-09-28,141.52288818359375,282.41827392578125,2723.679931640625,777.5599975585938,41034.54296875
2021-09-29,142.44036865234375,282.89642333984375,2690.419921875,781.3099975585938,41564.36328125
2021-09-30,141.11399841308594,280.82452392578125,2665.31005859375,775.47998046875,43790.89453125
2021-10-01,142.26084899902344,287.9765930175781,2729.25,775.219970703125,48116.94140625
2021-10-04,138.76043701171875,282.0098571777344,2675.300048828125,781.530029296875,49112.90234375
2021-10-05,140.72506713867188,287.6379089355469,2723.5400390625,780.5900268554688,51514.8125
2021-10-06,141.61264038085938,291.97100830078125,2747.080078125,782.75,55361.44921875
2021-10-07,142.89910888671875,293.70428466796875,2783.7099609375,793.6099853515625,53805.984375
2021-10-08,142.51016235351562,293.70428466796875,2801.1201171875,785.489990234375,53967.84765625
2021-10-11,142.42042541503906,293.0867004394531,2776.949951171875,791.9400024414062,57484.7890625
2021-10-12,141.12396240234375,291.7419128417969,2734.260009765625,805.719970703125,56041.05859375
2021-10-13,140.52560424804688,295.1585693359375,2758.0,811.0800170898438,57401.09765625
2021-10-14,143.36782836914062,301.57354736328125,2828.239990234375,818.3200073242188,57321.5234375
2021-10-15,144.44488525390625,303.02789306640625,2833.5,843.030029296875,61593.94921875
2021-10-18,146.1502227783203,306.095947265625,2859.2099609375,870.1099853515625,62026.078125
2021-10-19,148.35418701171875,307.03228759765625,2876.43994140625,864.27001953125,64261.9921875
2021-10-20,148.8528289794922,306.2154541015625,2848.300048828125,865.7999877929688,65992.8359375
2021-10-21,149.07223510742188,309.5524597167969,2855.610107421875,894.0,62210.171875
2021-10-22,148.28439331054688,307.9586486816406,2772.5,909.6799926757812,60692.265625
2021-10-25,148.23452758789062,306.93267822265625,2775.4599609375,1024.8599853515625,63039.82421875
2021-10-26,148.9126739501953,308.9049377441406,2793.43994140625,1018.4299926757812,60363.79296875
2021-10-27,148.44395446777344,321.9142150878906,2928.550048828125,1037.8599853515625,58482.38671875
2021-10-28,152.15380859375,323.0896301269531,2922.580078125,1077.0400390625,60622.13671875
2021-10-29,149.391357421875,330.33135986328125,2965.409912109375,1114.0,62227.96484375
2021-11-01,148.55364990234375,328.0901184082031,2875.47998046875,1208.5899658203125,61004.40625
2021-11-02,149.6107635498047,331.83551025390625,2917.260009765625,1172.0,63226.40234375
2021-11-03,151.07675170898438,332.7021484375,2935.800048828125,1213.8599853515625,62970.046875
2021-11-04,150.54818725585938,335.1326599121094,2973.659912109375,1229.9100341796875,61452.23046875
2021-11-05,151.08750915527344,334.7541198730469,2984.820068359375,1222.0899658203125,61125.67578125
2021-11-08,150.2485809326172,335.68048095703125,2987.030029296875,1162.93994140625,67566.828125
2021-11-09,150.61810302734375,334.6445617675781,2984.969970703125,1023.5,66971.828125
2021-11-10,147.73178100585938,329.5145568847656,2932.52001953125,1067.949951171875,64995.23046875
2021-11-11,147.6818389892578,331.1382141113281,2934.9599609375,1063.510009765625,64949.9609375
2021-11-12,149.7991485595703,335.41156005859375,2992.909912109375,1033.4200439453125,64155.94140625
2021-11-15,149.8091278076172,334.76409912109375,2987.760009765625,1013.3900146484375,63557.87109375
2021-11-16,150.807861328125,338.19073486328125,2981.52001953125,1054.72998046875,60161.24609375
2021-11-17,153.29469299316406,338.42022705078125,2981.239990234375,1089.010009765625,60368.01171875
2021-11-18,157.6691131591797,340.5657958984375,3014.179931640625,1096.3800048828125,56942.13671875
2021-11-19,160.34571838378906,342.4020080566406,2999.050048828125,1137.06005859375,58119.578125
2021-11-22,160.8151092529297,339.1287536621094,2941.570068359375,1156.8699951171875,56289.2890625
2021-11-23,161.20462036132812,336.98321533203125,2935.139892578125,1109.030029296875,57569.07421875
2021-11-24,161.73394775390625,337.2127380371094,2934.35009765625,1116.0,56280.42578125
2021-11-26,156.6104736328125,328.9997253417969,2856.1201171875,1081.9200439453125,53569.765625
2021-11-29,160.03610229492188,335.9353942871094,2922.280029296875,1136.989990234375,57806.56640625
2021-11-30,165.0896759033203,329.9078369140625,2849.0400390625,1144.760009765625,57005.42578125
2021-12-01,164.5603485107422,329.3988952636719,2832.360107421875,1095.0,57229.828125
2021-12-02,163.55162048339844,328.8100891113281,2875.530029296875,1084.5999755859375,56477.81640625
2021-12-03,161.63406372070312,322.343505859375,2850.409912109375,1014.969970703125,53598.24609375
2021-12-06,165.10964965820312,325.5169372558594,2875.929931640625,1009.010009765625,50582.625
2021-12-07,170.96217346191406,334.2289123535156,2960.72998046875,1051.75,50700.0859375
2021-12-08,174.8572235107422,334.27880859375,2974.409912109375,1068.9599609375,50504.796875
2021-12-09,174.33787536621094,332.41265869140625,2962.1201171875,1003.7999877929688,47672.12109375
2021-12-10,179.22166442871094,341.83319091796875,2973.5,1017.030029296875,47243.3046875
2021-12-13,175.51638793945312,338.69964599609375,2934.090087890625,966.4099731445312,46737.48046875
